timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-09-02 18:20:22+02:00,manual,timer,start,0,2024-09-02 16:20:22,Europe/Warsaw
2024-09-02 18:24:02+02:00,manual,timer,stop_all,0,2024-09-02 16:24:02,Europe/Warsaw
2024-09-02 18:24:53+02:00,manual,timer,start,0,2024-09-02 16:24:53,Europe/Warsaw
2024-09-02 18:24:56+02:00,manual,timer,stop_all,0,2024-09-02 16:24:56,Europe/Warsaw
2024-09-02 18:43:24+02:00,manual,timer,start,0,2024-09-02 16:43:24,Europe/Warsaw
2024-09-02 18:43:29+02:00,manual,timer,stop_all,0,2024-09-02 16:43:29,Europe/Warsaw
2024-09-02 18:43:57+02:00,manual,timer,start,0,2024-09-02 16:43:57,Europe/Warsaw
2024-09-02 18:44:38+02:00,manual,timer,stop_all,0,2024-09-02 16:44:38,Europe/Warsaw
2024-09-02 18:50:54+02:00,manual,timer,start,0,2024-09-02 16:50:54,Europe/Warsaw
2024-09-02 18:51:07+02:00,manual,timer,stop_all,0,2024-09-02 16:51:07,Europe/Warsaw
2024-09-02 18:51:22+02:00,manual,timer,start,0,2024-09-02 16:51:22,Europe/Warsaw
2024-09-02 18:51:30+02:00,manual,timer,stop_all,0,2024-09-02 16:51:30,Europe/Warsaw
2024-09-02 18:55:37+02:00,manual,timer,start,0,2024-09-02 16:55:37,Europe/Warsaw
2024-09-02 18:56:26+02:00,manual,timer,stop_all,0,2024-09-02 16:56:26,Europe/Warsaw
