timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-08-09 15:52:23-05:00,manual,timer,start,0,2024-08-09 20:52:23,
2024-08-09 15:52:28-05:00,manual,timer,stop_all,0,2024-08-09 20:52:28,
2024-08-09 15:53:45-05:00,manual,timer,start,0,2024-08-09 20:53:45,
2024-08-09 15:54:40-05:00,manual,timer,stop_all,0,2024-08-09 20:54:40,
2024-08-09 15:54:42-05:00,manual,timer,start,0,2024-08-09 20:54:42,
2024-08-09 15:55:14-05:00,manual,timer,stop_all,0,2024-08-09 20:55:14,
2024-08-09 15:55:18-05:00,manual,timer,start,0,2024-08-09 20:55:18,
2024-08-09 15:56:00-05:00,manual,timer,stop_all,0,2024-08-09 20:56:00,
2024-08-09 15:56:03-05:00,manual,timer,start,0,2024-08-09 20:56:03,
2024-08-09 15:56:27-05:00,manual,timer,stop_all,0,2024-08-09 20:56:27,
2024-08-09 15:56:42-05:00,manual,timer,start,0,2024-08-09 20:56:42,
2024-08-09 15:57:02-05:00,manual,timer,stop_all,0,2024-08-09 20:57:02,
2024-08-09 15:57:14-05:00,manual,timer,start,0,2024-08-09 20:57:14,
2024-08-09 15:57:51-05:00,manual,timer,stop_all,0,2024-08-09 20:57:51,
2024-08-09 15:57:54-05:00,manual,timer,start,0,2024-08-09 20:57:54,
2024-08-09 15:57:56-05:00,manual,timer,stop_all,0,2024-08-09 20:57:56,
2024-08-09 15:58:09-05:00,manual,timer,start,0,2024-08-09 20:58:09,
2024-08-09 15:58:41-05:00,manual,timer,stop_all,0,2024-08-09 20:58:41,
2024-08-09 15:58:46-05:00,manual,timer,start,0,2024-08-09 20:58:46,
2024-08-09 15:59:02-05:00,manual,timer,stop_all,0,2024-08-09 20:59:02,
